Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
29/10/2015,0.090000004,0.090000004,0.090000004,0.090000004,0.054012429,0
30/10/2015,0.092142001,0.092857003,0.090000004,0.092142001,0.055297922,1157814
02/11/2015,0.098571002,0.099284999,0.097856998,0.098571002,0.059156213,2206078
03/11/2015,0.098571002,0.098571002,0.097142003,0.098571002,0.059156213,2041270
04/11/2015,0.098571002,0.099284999,0.097856998,0.098571002,0.059156213,1542702
05/11/2015,0.097142003,0.097142003,0.095714003,0.097142003,0.058298614,425922
06/11/2015,0.097856998,0.098571002,0.097142003,0.097142003,0.058298614,670908
09/11/2015,0.097142003,0.098571002,0.097142003,0.097856998,0.0587277,479472
10/11/2015,0.097142003,0.097856998,0.096427999,0.097856998,0.0587277,513002
11/11/2015,0.097856998,0.097856998,0.096427999,0.097856998,0.0587277,1520064
12/11/2015,0.098571002,0.098571002,0.097856998,0.098571002,0.059156213,180544
13/11/2015,0.097856998,0.098571002,0.097142003,0.097856998,0.0587277,802634
16/11/2015,0.097856998,0.097856998,0.097142003,0.097856998,0.0587277,237566
17/11/2015,0.098571002,0.098571002,0.097142003,0.097856998,0.0587277,797146
18/11/2015,0.097142003,0.098571002,0.096427999,0.097142003,0.058298614,4647118
19/11/2015,0.097142003,0.097142003,0.095714003,0.096427999,0.057870112,1032318
20/11/2015,0.097142003,0.097142003,0.095714003,0.097142003,0.058298614,1060332
23/11/2015,0.096427999,0.097142003,0.096427999,0.097142003,0.058298614,280140
24/11/2015,0.094999999,0.095714003,0.092857003,0.092857003,0.055727024,1152340
25/11/2015,0.094999999,0.094999999,0.092857003,0.094999999,0.057013117,687176
26/11/2015,0.093571,0.094999999,0.092857003,0.093571,0.056155518,319452
27/11/2015,0.092857003,0.093571,0.092857003,0.092857003,0.055727024,281428
30/11/2015,0.093571,0.094284996,0.092857003,0.092857003,0.055727024,1042762
01/12/2015,0.093571,0.094284996,0.093571,0.093571,0.056155518,585564
02/12/2015,0.094284996,0.094999999,0.093571,0.093571,0.056155518,956564
03/12/2015,0.094999999,0.094999999,0.092142001,0.092142001,0.055297922,1541162
04/12/2015,0.092142001,0.092857003,0.091427997,0.092142001,0.055297922,579936
07/12/2015,0.092142001,0.092142001,0.091427997,0.092142001,0.055297922,578340
08/12/2015,0.092142001,0.092142001,0.090714,0.091427997,0.054869413,215628
09/12/2015,0.090714,0.091427997,0.089285001,0.091427997,0.054869413,713104
10/12/2015,0.089285001,0.091427997,0.089285001,0.090000004,0.054012429,1063986
11/12/2015,0.089285001,0.090000004,0.087141998,0.087857001,0.052726328,943012
14/12/2015,0.088570997,0.090000004,0.087141998,0.087857001,0.052726328,885514
15/12/2015,0.087857001,0.090000004,0.087141998,0.090000004,0.054012429,767718
16/12/2015,0.089285001,0.090714,0.088570997,0.090000004,0.054012429,344932
17/12/2015,0.090000004,0.091427997,0.090000004,0.091427997,0.054869413,766388
18/12/2015,0.090714,0.092857003,0.090714,0.090714,0.054440919,1169126
21/12/2015,0.090714,0.092142001,0.090714,0.091427997,0.054869413,358946
22/12/2015,0.092142001,0.092142001,0.091427997,0.092142001,0.055297922,386484
23/12/2015,0.092142001,0.092857003,0.091427997,0.092857003,0.055727024,805980
24/12/2015,0.092142001,0.092857003,0.091427997,0.092857003,0.055727024,780458
25/12/2015,0.092857003,0.093571,0.092142001,0.092857003,0.055727024,590478
28/12/2015,0.092857003,0.092857003,0.091427997,0.092142001,0.055297922,1279754
29/12/2015,0.092142001,0.092142001,0.090714,0.091427997,0.054869413,376194
30/12/2015,0.091427997,0.092142001,0.090714,0.090714,0.054440919,482034
31/12/2015,0.090714,0.091427997,0.090714,0.091427997,0.054869413,244090
01/01/2016,0.091427997,0.091427997,0.091427997,0.091427997,0.054869413,0
04/01/2016,0.091427997,0.091427997,0.088570997,0.090000004,0.054012429,987840
05/01/2016,0.090000004,0.090000004,0.087857001,0.089285001,0.053583328,1269506
06/01/2016,0.089285001,0.090714,0.087857001,0.090000004,0.054012429,675542
07/01/2016,0.089285001,0.090000004,0.088570997,0.089285001,0.053583328,721252
08/01/2016,0.090000004,0.090000004,0.088570997,0.089285001,0.053583328,717570
