Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2015-10-29,8.5,8.5,8.5,8.5,7.904716968536377,0
2015-10-30,8.600000381469727,8.733332633972168,8.600000381469727,8.666666030883789,8.059711456298828,149353
2015-11-02,9.100000381469727,9.133333206176758,9.033332824707031,9.100000381469727,8.462697982788086,209634
2015-11-03,9.366665840148926,9.666666030883789,9.300000190734863,9.600000381469727,8.927680969238281,1156182
2015-11-04,9.699999809265137,9.833333015441895,9.633333206176758,9.733332633972168,9.051673889160156,664239
2015-11-05,9.600000381469727,9.699999809265137,9.566665649414062,9.600000381469727,8.927680969238281,243519
2015-11-06,9.633333206176758,9.633333206176758,9.266666412353516,9.399999618530273,8.74168586730957,411072
2015-11-09,9.433333396911621,9.899999618530273,9.399999618530273,9.699999809265137,9.020676612854004,1340812
2015-11-10,9.699999809265137,9.766666412353516,9.666666030883789,9.666666030883789,8.989678382873535,305958
2015-11-11,9.733332633972168,9.833333015441895,9.600000381469727,9.600000381469727,8.927680969238281,412135
2015-11-12,9.733332633972168,9.733332633972168,9.566665649414062,9.666666030883789,8.989678382873535,236700
2015-11-13,9.600000381469727,9.666666030883789,9.566665649414062,9.566665649414062,8.89668083190918,112843
2015-11-16,9.600000381469727,9.633333206176758,9.5,9.5,8.834684371948242,166020
2015-11-17,9.600000381469727,9.600000381469727,9.333333015441895,9.366665840148926,8.710688591003418,230080
2015-11-18,9.399999618530273,9.433333396911621,9.266666412353516,9.333333015441895,8.679689407348633,144918
2015-11-19,9.366665840148926,9.366665840148926,9.233332633972168,9.333333015441895,8.679689407348633,144694
2015-11-20,9.433333396911621,9.466666221618652,9.366665840148926,9.399999618530273,8.74168586730957,162633
2015-11-23,9.333333015441895,9.366665840148926,9.300000190734863,9.333333015441895,8.679689407348633,105540
2015-11-24,9.066665649414062,9.199999809265137,8.766666412353516,8.766666412353516,8.152708053588867,312802
2015-11-25,8.899999618530273,8.966666221618652,8.866665840148926,8.966666221618652,8.338700294494629,125431
2015-11-26,8.833333015441895,8.866665840148926,8.600000381469727,8.600000381469727,7.997714519500732,114186
2015-11-27,8.699999809265137,8.766666412353516,8.600000381469727,8.699999809265137,8.090710639953613,139366
2015-11-30,8.733332633972168,8.800000190734863,8.706665992736816,8.706665992736816,8.096908569335938,112257
2015-12-01,8.746665954589844,8.933333396911621,8.746665954589844,8.91333293914795,8.289103507995605,191253
2015-12-02,8.933333396911621,9.033332824707031,8.84000015258789,8.859999656677246,8.239503860473633,171693
2015-12-03,8.893333435058594,8.960000038146973,8.633333206176758,8.646665573120117,8.041110038757324,175780
2015-12-04,8.699999809265137,8.739999771118164,8.306666374206543,8.420000076293945,7.830319881439209,342393
2015-12-07,8.420000076293945,8.420000076293945,8.273332595825195,8.300000190734863,7.718723297119141,200343
2015-12-08,8.300000190734863,8.399999618530273,8.266666412353516,8.34666633605957,7.762121200561523,202686
2015-12-09,8.366665840148926,8.553333282470703,8.366665840148926,8.473333358764648,7.879918098449707,232165
2015-12-10,8.466666221618652,8.546666145324707,8.333333015441895,8.333333015441895,7.749722957611084,322609
2015-12-11,8.34000015258789,8.393333435058594,8.246665954589844,8.25333309173584,7.6753249168396,376297
2015-12-14,8.319999694824219,8.399999618530273,8.266666412353516,8.273332595825195,7.6939239501953125,304168
