Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2015-10-29,263.5,263.5,263.5,263.5,260.28997802734375,0
2015-10-30,268.0,268.5,266.0,266.0,262.7595520019531,15637
2015-11-02,270.5,272.0,269.5,271.5,268.19256591796875,15796
2015-11-03,270.0,270.5,268.5,269.5,266.21685791015625,5822
2015-11-04,266.5,267.0,265.0,266.0,262.7595520019531,29759
2015-11-05,264.5,265.5,264.0,265.0,261.7716979980469,10887
2015-11-06,266.0,266.0,264.5,265.0,261.7716979980469,9290
2015-11-09,265.0,265.0,264.0,264.0,260.783935546875,9491
2015-11-10,265.0,265.5,263.5,264.0,260.783935546875,10177
2015-11-11,266.0,267.0,265.5,266.0,262.7595520019531,8575
2015-11-12,269.5,272.5,268.0,270.0,266.7107849121094,6973
2015-11-13,272.5,273.0,268.5,268.5,265.22906494140625,5882
2015-11-16,266.0,267.5,264.5,264.5,261.27783203125,3165
2015-11-17,265.5,265.5,264.0,264.5,261.27783203125,3174
2015-11-18,264.0,264.5,257.5,257.5,254.36309814453125,6628
2015-11-19,258.5,260.0,258.5,260.0,256.8326110839844,4076
2015-11-20,271.5,272.5,265.5,271.5,268.19256591796875,10550
2015-11-23,284.5,287.0,283.0,284.0,280.540283203125,13963
2015-11-24,284.0,288.0,283.0,283.0,279.55242919921875,12079
2015-11-25,284.5,286.0,283.5,284.5,281.03411865234375,5063
2015-11-26,280.0,287.0,280.0,285.0,281.528076171875,7443
2015-11-27,284.0,284.5,278.0,279.0,275.60113525390625,9680
2015-11-30,279.5,285.20001220703125,274.8999938964844,276.5,273.131591796875,5905
2015-12-01,280.3999938964844,281.79998779296875,277.29998779296875,280.3999938964844,276.984130859375,8561
2015-12-02,280.0,281.0,278.70001220703125,279.1000061035156,275.699951171875,7100
2015-12-03,280.0,291.5,280.0,291.0,287.4549865722656,10850
2015-12-04,291.0,300.0,289.0,289.1000061035156,285.5780944824219,18093
2015-12-07,289.0,294.0,286.20001220703125,294.0,290.4184265136719,6162
2015-12-08,294.0,299.5,290.6000061035156,299.0,295.3575439453125,17908
2015-12-09,299.1000061035156,304.5,298.3999938964844,299.29998779296875,295.6538391113281,21532
2015-12-10,303.0,303.0,292.1000061035156,293.0,289.4306335449219,8221
2015-12-11,293.0,293.1000061035156,282.5,289.0,285.4793395996094,10240
2015-12-14,289.0,300.70001220703125,285.20001220703125,300.0,296.3453369140625,29202
2015-12-15,302.0,303.5,297.5,300.5,296.8392333984375,10592
2015-12-16,300.6000061035156,305.5,300.5,303.8999938964844,300.19781494140625,20837
2015-12-17,304.8999938964844,307.0,299.8999938964844,306.5,302.7661437988281,16283
2015-12-18,308.5,308.5,302.0,302.29998779296875,298.6173095703125,10902
2015-12-21,303.0,303.5,300.0,300.6000061035156,296.9380187988281,4580
2015-12-22,301.0,302.0,300.0,300.0,296.3453369140625,5094
2015-12-23,300.5,302.29998779296875,290.0,299.6000061035156,295.9502258300781,6089
2015-12-24,300.0,301.1000061035156,297.0,297.5,293.87579345703125,1781
2015-12-25,295.0,297.0,294.5,294.5,290.912353515625,1204
2015-12-28,294.5,299.3999938964844,294.1000061035156,297.29998779296875,293.6781921386719,3243
2015-12-29,297.3999938964844,301.1000061035156,297.29998779296875,301.1000061035156,297.4319152832031,2242
2015-12-30,301.6000061035156,310.0,301.6000061035156,310.0,306.2235412597656,10315
2015-12-31,310.5,316.5,309.70001220703125,310.0,306.2235412597656,10853
2016-01-01,310.0,310.0,310.0,310.0,306.2235412597656,0
2016-01-04,310.0,313.5,302.70001220703125,309.5,305.7296142578125,6337
2016-01-05,306.1000061035156,313.0,306.1000061035156,310.0,306.2235412597656,8453
2016-01-06,310.1000061035156,310.1000061035156,306.5,307.0,303.26007080078125,5287
2016-01-07,305.0,311.0,301.79998779296875,310.0,306.2235412597656,11228
2016-01-08,310.0,313.20001220703125,309.1000061035156,313.20001220703125,309.3845520019531,7637
2016-01-11,313.20001220703125,317.5,312.5,317.29998779296875,313.4345703125,13043
2016-01-12,317.79998779296875,318.70001220703125,312.5,318.6000061035156,314.71875,6610
2016-01-13,319.5,324.3999938964844,317.3999938964844,322.79998779296875,318.8675537109375,9607
2016-01-14,323.0,326.1000061035156,317.20001220703125,319.3999938964844,315.50897216796875,13306
2016-01-15,319.3999938964844,321.8999938964844,314.5,318.20001220703125,314.3236389160156,8101
2016-01-18,317.79998779296875,317.79998779296875,307.79998779296875,308.20001220703125,304.4454650878906,7740
2016-01-19,309.0,318.0,307.5,318.0,314.1260986328125,9223
2016-01-20,315.5,322.20001220703125,311.20001220703125,312.0,308.1991271972656,5705
2016-01-21,311.20001220703125,313.0,306.0,306.70001220703125,302.9637451171875,9452
2016-01-22,306.70001220703125,306.70001220703125,306.70001220703125,306.70001220703125,302.9637451171875,0
2016-01-25,308.0,308.0,298.0,301.0,297.3331298828125,8013
2016-01-26,300.8999938964844,301.20001220703125,299.70001220703125,300.0,296.3453369140625,8820
2016-01-27,301.0,302.70001220703125,299.79998779296875,300.0,296.3453369140625,10364
2016-01-28,300.3999938964844,301.8999938964844,297.20001220703125,297.3999938964844,293.7769775390625,9177
2016-01-29,289.5,298.3999938964844,289.5,295.0,291.40625,16803
2016-02-01,296.0,305.29998779296875,296.0,302.0,298.3210144042969,19915
2016-02-02,303.0,304.0,297.5,299.5,295.8514099121094,12880
2016-02-03,300.0,305.0,300.0,303.5,299.8027038574219,12799
2016-02-04,304.5,304.79998779296875,300.1000061035156,301.0,297.3331298828125,10126
2016-02-05,302.8999938964844,303.0,300.20001220703125,301.1000061035156,297.4319152832031,4741
2016-02-08,301.6000061035156,301.6000061035156,295.0,295.79998779296875,292.19647216796875,9314
2016-02-09,294.0,295.20001220703125,289.3999938964844,290.1000061035156,286.5659484863281,12386
2016-02-10,291.0,292.5,282.1000061035156,282.1000061035156,278.6634216308594,4773
2016-02-11,286.0,289.0,271.20001220703125,280.6000061035156,277.181640625,8927
2016-02-12,281.0,281.0,276.1000061035156,280.8999938964844,277.4779968261719,2723
2016-02-15,276.79998779296875,282.3999938964844,273.0,278.5,275.10723876953125,3929
2016-02-16,281.5,287.3999938964844,276.1000061035156,277.8999938964844,274.5145263671875,2169
2016-02-17,276.8999938964844,292.1000061035156,275.0,291.20001220703125,287.65252685546875,11196
2016-02-18,294.0,299.0,275.0,296.0,292.39410400390625,17788
2016-02-19,298.0,308.79998779296875,298.0,308.79998779296875,305.0381164550781,15659
2016-02-22,309.1000061035156,315.5,309.1000061035156,313.70001220703125,309.87841796875,6904
2016-02-23,313.79998779296875,313.79998779296875,308.3999938964844,309.79998779296875,306.02593994140625,4626
2016-02-24,309.79998779296875,314.0,302.0,312.6000061035156,308.7919006347656,5679
2016-02-25,315.0,315.0,309.5,311.0,307.21136474609375,5908
2016-02-26,311.0,313.1000061035156,308.0,311.0,307.21136474609375,2483
2016-02-29,310.0,315.0,309.1000061035156,310.6000061035156,306.8161926269531,4363
2016-03-01,314.79998779296875,317.29998779296875,309.5,314.6000061035156,310.7674560546875,18419
2016-03-02,314.6000061035156,323.29998779296875,314.6000061035156,317.1000061035156,313.23699951171875,14449
2016-03-03,317.1000061035156,320.79998779296875,316.6000061035156,318.0,314.1260986328125,3041
2016-03-04,319.6000061035156,319.6000061035156,312.20001220703125,315.8999938964844,312.0516357421875,3769
2016-03-07,315.8999938964844,317.8999938964844,313.1000061035156,314.0,310.1748046875,2829
2016-03-08,315.0,315.3999938964844,312.5,314.20001220703125,310.3723449707031,3690
2016-03-09,314.1000061035156,314.20001220703125,310.3999938964844,311.6000061035156,307.8039855957031,4145
2016-03-10,315.0,315.0,308.0,314.79998779296875,310.96502685546875,7821
2016-03-11,314.70001220703125,315.5,311.5,313.1000061035156,309.2857360839844,6003
2016-03-14,313.29998779296875,316.1000061035156,312.3999938964844,313.0,309.18695068359375,5464
2016-03-15,313.0,315.0,311.5,314.20001220703125,310.3723449707031,2437
2016-03-16,314.20001220703125,317.5,313.3999938964844,316.1000061035156,312.2491760253906,3361
2016-03-17,316.1000061035156,323.0,316.1000061035156,316.3999938964844,312.5455627441406,6295
2016-03-18,317.1000061035156,320.20001220703125,314.0,320.0,316.1016845703125,3646
2016-03-21,320.5,333.20001220703125,320.5,333.0,328.9433288574219,9338
2016-03-22,333.3999938964844,335.0,329.0,330.0,325.9798583984375,15878
2016-03-23,329.0,331.5,328.0,330.0,325.9798583984375,10913
2016-03-24,332.1000061035156,340.5,331.29998779296875,338.0,333.8824157714844,6141
2016-03-25,338.0,342.0,337.0,341.8999938964844,337.73486328125,1403
2016-03-28,341.8999938964844,345.0,336.0,338.5,334.3763122558594,2429
