Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2025-09-23,85.94999694824219,85.94999694824219,82.0999984741211,82.75,82.75,182252
2025-09-24,78.0,82.5,78.0,80.30000305175781,80.30000305175781,224837
2025-09-25,80.30000305175781,81.0,79.05000305175781,79.4000015258789,79.4000015258789,90326
2025-09-26,78.80000305175781,80.19999694824219,76.05000305175781,77.5,77.5,153290
2025-09-29,77.44999694824219,77.44999694824219,74.30000305175781,74.69999694824219,74.69999694824219,137346
2025-09-30,74.05000305175781,76.5999984741211,73.0,74.5999984741211,74.5999984741211,95325
2025-10-01,78.0,82.05000305175781,78.0,82.05000305175781,82.05000305175781,150901
2025-10-02,90.25,90.25,90.25,90.25,90.25,435283
2025-10-03,99.25,99.25,94.3499984741211,99.25,99.25,1234158
2025-10-06,109.0999984741211,109.0999984741211,107.0,109.0999984741211,109.0999984741211,1374343
2025-10-07,120.0,120.0,114.30000305175781,120.0,120.0,1340661
2025-10-08,132.0,132.0,128.0,132.0,132.0,1821349
2025-10-09,139.60000610351562,145.1999969482422,118.80000305175781,118.80000305175781,118.80000305175781,2984266
2025-10-10,107.0,130.60000610351562,107.0,130.60000610351562,130.60000610351562,3182785
2025-10-13,123.9000015258789,134.5,118.0,118.0,118.0,1864407
2025-10-14,107.19999694824219,122.69999694824219,107.19999694824219,114.0,114.0,1921508
2025-10-15,112.19999694824219,112.30000305175781,102.5999984741211,102.80000305175781,102.80000305175781,1659979
2025-10-16,100.0999984741211,107.4000015258789,97.0,97.5,97.5,1735254
2025-10-17,96.5,107.19999694824219,92.0,107.19999694824219,107.19999694824219,2206749
2025-10-20,105.9000015258789,114.4000015258789,99.0,104.4000015258789,104.4000015258789,1539457
2025-10-21,104.0,104.0,98.0,99.9000015258789,99.9000015258789,820431
2025-10-22,99.19999694824219,99.19999694824219,93.30000305175781,94.30000305175781,94.30000305175781,852645
2025-10-23,93.9000015258789,96.94999694824219,91.05000305175781,91.0999984741211,91.0999984741211,683763
2025-10-24,91.0,100.19999694824219,89.05000305175781,100.19999694824219,100.19999694824219,988234
