Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2015-10-29,285.5,285.5,285.5,285.5,188.1077423095703,0
2015-10-30,281.0,284.0,279.0,283.5,186.7899932861328,8750
2015-11-02,299.5,301.5,297.5,299.0,197.00250244140625,19778
2015-11-03,299.0,314.0,297.5,311.5,205.2383575439453,99465
2015-11-04,315.5,317.0,312.0,312.0,205.5678253173828,20093
2015-11-05,310.0,311.0,306.5,308.5,203.26177978515625,14977
2015-11-06,310.5,318.5,310.0,314.5,207.21498107910156,49233
2015-11-09,312.5,315.5,309.0,309.0,203.59121704101562,23816
2015-11-10,313.5,315.0,311.5,311.5,205.2383575439453,21434
2015-11-11,318.5,329.0,318.0,325.5,214.46258544921875,88383
2015-11-12,334.5,338.0,332.5,334.5,220.39242553710938,34685
2015-11-13,328.5,336.5,328.0,335.5,221.05130004882812,52402
2015-11-16,341.5,347.0,340.0,341.0,224.6750946044922,34591
2015-11-17,343.5,343.5,329.0,334.0,220.06300354003906,51019
2015-11-18,334.0,334.5,326.5,329.0,216.76864624023438,26700
2015-11-19,330.0,332.0,324.0,329.0,216.76864624023438,24898
2015-11-20,333.5,334.0,329.5,330.5,217.75694274902344,17098
2015-11-23,326.5,327.5,321.0,321.0,211.4976348876953,15490
2015-11-24,315.0,320.0,305.5,311.0,204.908935546875,31144
2015-11-25,316.5,321.0,314.5,320.0,210.83880615234375,28566
2015-11-26,320.0,320.0,307.0,308.0,202.9323272705078,33346
2015-11-27,314.5,317.5,308.0,314.5,207.21498107910156,25310
2015-11-30,315.0,318.0,309.6000061035156,317.0,208.86219787597656,31720
2015-12-01,318.0,330.0,316.20001220703125,318.0,209.5210723876953,41634
2015-12-02,340.20001220703125,340.20001220703125,330.0,332.70001220703125,219.2064666748047,33117
2015-12-03,333.0,335.29998779296875,323.8999938964844,324.0,213.47427368164062,29151
2015-12-04,327.0,327.0,314.1000061035156,321.0,211.4976348876953,42241
2015-12-07,321.5,322.0,317.0,317.79998779296875,209.38926696777344,17429
2015-12-08,319.0,321.70001220703125,318.0,318.5,209.85047912597656,19737
2015-12-09,319.5,321.20001220703125,314.1000061035156,321.0,211.4976348876953,22962
2015-12-10,318.20001220703125,323.6000061035156,312.5,313.1000061035156,206.29258728027344,31620
2015-12-11,316.0,316.0,301.0,307.29998779296875,202.4711151123047,40751
2015-12-14,308.3999938964844,311.79998779296875,297.0,297.5,196.0142059326172,29751
2015-12-15,298.5,312.79998779296875,295.3999938964844,312.0,205.5678253173828,34489
2015-12-16,312.1000061035156,312.5,305.0,308.20001220703125,203.06410217285156,21895
2015-12-17,310.5,323.6000061035156,310.5,320.70001220703125,211.300048828125,34749
2015-12-18,320.70001220703125,329.0,317.29998779296875,327.1000061035156,215.5167694091797,33649
2015-12-21,330.0,334.5,326.8999938964844,328.0,216.10977172851562,44319
2015-12-22,328.0,328.0,323.6000061035156,325.3999938964844,214.39671325683594,26429
2015-12-23,326.0,331.0,326.0,327.29998779296875,215.6485595703125,20856
2015-12-24,328.0,328.3999938964844,323.0,323.0,212.81541442871094,14319
2015-12-25,323.0,324.0,319.79998779296875,320.0,210.83880615234375,9229
