Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2025-01-17,137.5,137.5,126.5,133.5,133.5,38822859
2025-01-20,133.60000610351562,143.39999389648438,131.39999389648438,139.5,139.5,26875864
2025-01-21,141.0,142.5,134.3000030517578,134.89999389648438,134.89999389648438,15361261
2025-01-22,135.0,145.0,134.0,144.10000610351562,144.10000610351562,20136603
2025-01-23,143.5,152.3000030517578,142.6999969482422,149.60000610351562,149.60000610351562,20562770
2025-01-24,150.0,150.60000610351562,143.39999389648438,143.5,143.5,10831591
2025-01-27,143.10000610351562,148.10000610351562,142.5,144.0,144.0,7740738
2025-01-28,147.3000030517578,151.10000610351562,144.10000610351562,144.10000610351562,144.10000610351562,9258439
2025-01-29,144.8000030517578,145.10000610351562,136.0,136.0,136.0,5627369
2025-01-30,140.89999389648438,147.0,139.5,142.1999969482422,142.1999969482422,11023245
2025-01-31,142.60000610351562,154.39999389648438,141.5,151.8000030517578,151.8000030517578,13249032
2025-02-03,150.89999389648438,158.60000610351562,150.3000030517578,153.8000030517578,153.8000030517578,10345958
2025-02-04,154.60000610351562,155.0,148.3000030517578,149.89999389648438,149.89999389648438,7091904
2025-02-05,149.6999969482422,155.0,143.1999969482422,144.0,144.0,7224495
2025-02-06,144.5,147.60000610351562,142.8000030517578,143.10000610351562,143.10000610351562,6184282
2025-02-07,143.6999969482422,145.60000610351562,140.39999389648438,140.5,140.5,4875834
2025-02-10,141.0,146.8000030517578,138.3000030517578,145.10000610351562,145.10000610351562,8765855
2025-02-11,145.1999969482422,148.1999969482422,143.3000030517578,145.3000030517578,145.3000030517578,5807921
2025-02-12,145.60000610351562,146.6999969482422,140.6999969482422,141.5,141.5,4381696
2025-02-13,142.5,142.6999969482422,139.8000030517578,141.1999969482422,141.1999969482422,3335381
2025-02-14,141.60000610351562,143.60000610351562,140.39999389648438,142.1999969482422,142.1999969482422,3495651
2025-02-17,142.5,143.39999389648438,138.0,138.89999389648438,138.89999389648438,4048065
2025-02-18,139.3000030517578,140.10000610351562,135.6999969482422,139.10000610351562,139.10000610351562,4523471
2025-02-19,139.5,139.5,133.1999969482422,133.1999969482422,133.1999969482422,3833017
2025-02-20,134.0,136.39999389648438,131.39999389648438,133.6999969482422,133.6999969482422,4021084
2025-02-21,133.89999389648438,138.60000610351562,131.5,133.5,133.5,5674958
2025-02-24,134.89999389648438,137.0,132.0,132.0,132.0,4645052
2025-02-25,132.3000030517578,132.39999389648438,127.30000305175781,127.30000305175781,127.30000305175781,3078766
2025-02-26,127.30000305175781,127.80000305175781,122.69999694824219,125.0,125.0,4677920
2025-02-27,125.19999694824219,127.19999694824219,124.5999984741211,125.19999694824219,125.19999694824219,3100860
2025-02-28,125.19999694824219,135.60000610351562,124.5999984741211,133.60000610351562,133.60000610351562,9791669
2025-03-03,133.39999389648438,138.39999389648438,131.8000030517578,134.5,134.5,6077545
2025-03-04,134.0,134.89999389648438,127.9000015258789,128.60000610351562,128.60000610351562,3745804
2025-03-05,129.5,131.39999389648438,126.30000305175781,127.5,127.5,4177121
2025-03-06,128.1999969482422,135.3000030517578,128.0,133.6999969482422,133.6999969482422,5691485
2025-03-07,133.5,140.6999969482422,132.60000610351562,140.5,140.5,5060402
2025-03-10,141.3000030517578,142.5,138.0,140.3000030517578,140.3000030517578,3162185
