Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2024-07-26,739.0,739.0,701.5,717.5,717.5,8013
2024-07-29,717.5,717.5,695.5,701.0,701.0,10663
2024-07-30,703.0,703.0,694.5,698.0,698.0,12859
2024-07-31,675.0,698.0,675.0,698.0,698.0,9834
2024-08-01,690.0,690.0,673.0,690.0,690.0,7511
2024-08-02,675.0,675.0,661.0,661.0,661.0,8767
2024-08-05,607.0,607.0,595.0,595.0,595.0,15389
2024-08-06,600.5,620.0,600.5,619.5,619.5,14862
2024-08-07,607.5,607.5,595.0,600.0,600.0,11166
2024-08-08,575.0,575.0,570.0,570.0,570.0,13860
2024-08-09,550.0,550.0,540.0,540.0,540.0,16549
2024-08-12,511.5,594.0,511.5,593.5,593.5,24986
2024-08-13,564.0,593.5,564.0,575.5,575.5,11509
2024-08-14,555.5,560.0,537.5,537.5,537.5,10330
2024-08-15,520.0,546.5,520.0,523.0,523.0,9948
2024-08-16,523.0,530.5,500.5,500.5,500.5,10561
2024-08-19,491.5,518.0,491.5,506.0,506.0,12688
2024-08-20,506.0,506.0,480.0,480.0,480.0,14570
2024-08-21,456.0,474.5,456.0,469.5,469.5,17152
2024-08-22,468.25,468.25,422.75,422.75,422.75,19246
2024-08-23,430.5,460.0,430.5,450.0,450.0,19333
2024-08-26,490.0,495.0,490.0,495.0,495.0,16539
2024-08-27,544.5,544.5,544.5,544.5,544.5,9654
2024-08-28,598.5,598.5,598.5,598.5,598.5,12438
2024-08-29,598.0,658.0,597.5,658.0,658.0,34860
2024-09-02,722.5,722.5,696.5,696.5,696.5,24330
2024-09-03,714.5,714.5,704.5,704.5,704.5,13735
2024-09-05,673.0,673.0,660.0,660.0,660.0,11273
2024-09-06,650.0,650.0,616.0,638.0,638.0,10717
2024-09-09,671.0,671.0,645.0,645.0,645.0,11419
2024-09-10,645.0,645.0,621.0,621.0,621.0,8686
2024-09-11,621.5,621.5,591.0,591.0,591.0,10272
2024-09-12,600.5,600.5,580.0,580.0,580.0,7066
2024-09-13,576.0,590.0,570.0,590.0,590.0,15063
2024-09-16,618.5,618.5,602.0,602.0,602.0,7341
2024-09-17,620.0,620.0,600.0,600.0,600.0,7566
2024-09-18,599.0,599.0,573.5,580.0,580.0,8202
2024-09-19,600.0,600.0,586.5,586.5,586.5,7431
2024-09-20,587.5,587.5,565.0,585.0,585.0,8531
2024-09-23,585.0,585.0,540.0,540.0,540.0,14254
2024-09-24,538.5,538.5,530.0,530.0,530.0,9062
2024-09-25,530.0,530.0,500.0,500.0,500.0,11515
2024-09-26,527.0,550.0,527.0,550.0,550.0,8847
2024-09-27,599.0,599.0,590.5,590.5,590.5,18159
2024-09-30,600.0,600.0,555.0,599.0,599.0,9686
2024-10-01,599.0,599.0,555.0,555.0,555.0,7908
2024-10-02,525.5,540.0,525.5,540.0,540.0,14048
2024-10-03,540.5,556.5,513.5,521.5,521.5,9073
2024-10-04,521.5,545.0,506.0,545.0,545.0,9331
2024-10-07,545.0,545.0,526.5,526.5,526.5,8826
2024-10-08,525.0,525.0,510.5,510.5,510.5,7800
2024-10-09,515.5,517.5,510.0,517.5,517.5,9199
2024-10-10,497.0,539.0,497.0,520.5,520.5,11133
2024-10-11,505.0,519.0,505.0,511.0,511.0,7713
2024-10-14,490.0,490.0,490.0,490.0,490.0,12138
2024-10-15,490.0,510.0,490.0,510.0,510.0,9102
2024-10-16,508.5,508.5,491.5,497.0,497.0,6753
2024-10-17,500.5,515.0,500.5,504.0,504.0,5496
2024-10-18,504.0,504.0,485.25,485.25,485.25,11145
2024-10-21,485.25,485.25,477.5,477.5,477.5,12208
2024-10-22,479.75,480.5,479.75,480.0,480.0,7160
