Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2024-03-11,390.0,403.25,385.25,399.0,399.0,133230
2024-03-12,400.0,400.25,386.25,394.0,394.0,88704
2024-03-13,394.0,394.0,386.5,389.0,389.0,40243
2024-03-14,390.5,390.5,383.5,384.0,384.0,30819
2024-03-15,384.0,384.75,376.0,379.0,379.0,49672
2024-03-18,379.0,380.25,370.75,371.0,371.0,56635
2024-03-19,371.0,371.25,362.75,365.0,365.0,65005
2024-03-20,368.0,368.0,360.0,362.5,362.5,31093
2024-03-21,362.75,366.0,356.25,356.5,356.5,34910
2024-03-22,358.5,364.0,347.0,360.0,360.0,67919
2024-03-25,360.0,363.75,350.75,350.75,350.75,50388
2024-03-26,350.5,350.5,338.25,338.25,338.25,49474
2024-03-27,346.5,350.25,332.0,335.0,335.0,38800
2024-03-28,335.0,359.75,333.5,335.0,335.0,89152
2024-03-29,339.25,348.75,334.0,348.5,348.5,34179
2024-04-01,348.0,350.0,338.75,339.75,339.75,154725
2024-04-02,347.0,348.5,336.25,339.25,339.25,172092
2024-04-03,339.0,339.0,327.5,328.0,328.0,162574
2024-04-04,328.0,334.5,321.0,329.75,329.75,263054
2024-04-05,330.0,340.0,326.25,340.0,340.0,65007
2024-04-08,345.0,347.5,339.25,342.5,342.5,42850
2024-04-15,340.0,340.0,334.0,334.5,334.5,62527
2024-04-16,336.75,336.75,322.0,323.5,323.5,89423
2024-04-17,323.5,328.0,320.0,325.5,325.5,45194
2024-04-18,325.25,358.0,322.75,339.0,339.0,287450
2024-04-19,335.0,345.75,331.25,334.0,334.0,117038
2024-04-22,336.0,340.5,320.75,320.75,320.75,152563
2024-04-24,323.0,329.0,314.5,315.75,315.75,72699
2024-04-25,319.5,320.25,308.5,315.0,315.0,50781
2024-04-26,314.25,318.25,310.0,317.0,317.0,36168
2024-04-29,319.0,319.5,314.75,318.0,318.0,48194
2024-04-30,318.25,319.75,312.0,318.5,318.5,177192
2024-05-02,318.5,330.0,317.75,322.0,322.0,91308
2024-05-03,322.0,325.0,319.25,322.75,322.75,139596
2024-05-06,324.0,332.75,322.5,322.5,322.5,90751
2024-05-07,322.5,343.75,315.0,334.5,334.5,223554
2024-05-08,341.0,343.75,331.5,336.0,336.0,99810
2024-05-09,340.0,365.25,337.25,355.0,355.0,466793
2024-05-10,355.0,356.75,343.25,347.0,347.0,95680
2024-05-13,345.0,345.0,333.5,335.0,335.0,124923
2024-05-14,332.75,335.25,329.75,331.5,331.5,93975
2024-05-15,331.5,348.0,325.5,338.5,338.5,113400
2024-05-16,338.5,344.0,333.0,333.75,333.75,45216
2024-05-17,336.0,345.0,332.5,341.5,341.5,70981
2024-05-20,341.5,352.5,340.0,347.0,347.0,71343
2024-05-21,347.0,347.0,340.75,344.0,344.0,62997
2024-05-22,344.0,357.5,342.25,355.5,355.5,104833
2024-05-23,353.75,369.5,352.0,358.0,358.0,93901
2024-05-24,359.75,360.5,344.75,344.75,344.75,85895
2024-05-27,344.75,348.0,337.0,339.5,339.5,89447
2024-05-28,337.5,341.75,331.0,332.5,332.5,60465
2024-05-29,332.5,336.5,330.0,332.5,332.5,90137
2024-05-30,332.5,337.5,331.5,334.0,334.0,88928
2024-05-31,334.25,336.0,329.75,330.0,330.0,66759
2024-06-03,330.0,332.25,329.5,330.0,330.0,49916
2024-06-04,330.25,331.75,329.0,330.0,330.0,80087
2024-06-05,330.25,333.0,330.0,332.0,332.0,41537
2024-06-06,333.0,339.0,330.5,332.75,332.75,43833
2024-06-07,332.75,334.75,330.25,330.5,330.5,28986
2024-06-10,330.75,331.5,330.0,330.0,330.0,51143
2024-06-11,330.0,331.0,329.0,330.0,330.0,129255
2024-06-12,331.0,331.75,330.0,330.0,330.0,31413
2024-06-13,331.0,334.0,330.5,334.0,334.0,29337
2024-06-14,335.5,335.5,330.25,333.0,333.0,18421
2024-06-20,336.75,337.75,333.75,334.5,334.5,19842
2024-06-21,334.75,343.0,334.0,338.5,338.5,39702
2024-06-24,343.75,347.5,338.5,342.25,342.25,43019
2024-06-25,340.0,342.75,335.0,342.0,342.0,33085
