Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2015-10-29,297.5,297.5,297.5,297.5,267.9503479003906,0
2015-10-30,294.0,301.5,294.0,300.0,270.2020263671875,9904
2015-11-02,325.0,325.5,321.5,323.0,290.9175109863281,13910
2015-11-03,320.0,326.0,319.5,322.0,290.016845703125,35593
2015-11-04,326.0,326.5,323.5,325.0,292.7188415527344,29884
2015-11-05,332.0,332.0,327.0,327.5,294.9705505371094,38429
2015-11-06,327.0,327.5,321.0,323.5,291.3678283691406,25508
2015-11-09,326.5,332.5,326.0,327.0,294.52020263671875,70907
2015-11-10,329.5,335.0,328.0,333.0,299.9242248535156,56771
2015-11-11,342.0,345.5,339.5,344.0,309.8316345214844,80703
2015-11-12,358.0,364.0,352.0,357.5,321.99072265625,120120
2015-11-13,349.5,378.0,348.5,376.5,339.1035461425781,121842
2015-11-16,376.5,380.0,361.0,361.0,325.1430969238281,100231
2015-11-17,370.5,371.5,359.0,363.5,327.394775390625,66896
2015-11-18,363.0,363.0,350.5,352.0,317.03704833984375,47520
2015-11-19,353.5,370.0,344.5,360.0,324.2424011230469,178764
2015-11-20,360.5,363.5,355.0,355.5,320.18939208984375,53724
2015-11-23,360.0,362.0,354.5,355.0,319.7390441894531,43336
2015-11-24,345.0,352.5,330.0,330.0,297.22222900390625,48389
2015-11-25,339.0,347.0,338.0,346.0,311.63299560546875,70672
2015-11-26,350.0,354.0,336.0,337.0,303.5269470214844,66456
2015-11-27,341.5,344.5,333.0,338.0,304.4276123046875,31951
2015-11-30,339.5,343.6000061035156,332.5,335.0,301.7255859375,75349
2015-12-01,336.0,339.79998779296875,336.0,336.0,302.6262512207031,31134
2015-12-02,341.0,342.29998779296875,334.29998779296875,335.0,301.7255859375,29819
2015-12-03,336.0,337.5,323.20001220703125,324.0,291.81817626953125,47250
2015-12-04,325.0,329.70001220703125,313.5,321.0,289.11614990234375,38863
2015-12-07,321.5,321.79998779296875,312.70001220703125,317.6000061035156,286.0538635253906,77094
2015-12-08,317.5,319.1000061035156,305.0,305.5,275.1557312011719,41256
2015-12-09,306.5,310.0,299.0,309.20001220703125,278.48822021484375,53299
2015-12-10,309.0,314.29998779296875,297.0,297.8999938964844,268.3105773925781,42520
2015-12-11,299.20001220703125,301.0,290.0,291.0,262.095947265625,29086
2015-12-14,293.5,296.70001220703125,287.1000061035156,291.0,262.095947265625,20425
2015-12-15,294.0,301.6000061035156,291.70001220703125,299.0,269.30133056640625,41718
2015-12-16,300.5,308.0,298.29998779296875,301.79998779296875,271.8232116699219,29684
2015-12-17,305.5,315.5,304.0,313.0,281.9107666015625,50097
2015-12-18,313.6000061035156,337.5,310.29998779296875,329.79998779296875,297.04205322265625,106997
2015-12-21,332.0,341.20001220703125,330.1000061035156,330.1000061035156,297.3122863769531,73594
2015-12-22,330.29998779296875,337.0,323.5,331.5,298.5732421875,46954
2015-12-23,332.20001220703125,339.79998779296875,332.20001220703125,335.0,301.7255859375,65005
2015-12-24,335.70001220703125,337.1000061035156,325.0,325.0,292.7188415527344,29819
2015-12-25,326.0,332.0,325.0,326.5,294.0698547363281,30299
2015-12-28,327.5,329.5,321.79998779296875,322.1000061035156,290.10693359375,28183
2015-12-29,323.5,324.8999938964844,317.70001220703125,317.70001220703125,286.1439514160156,23362
2015-12-30,318.0,326.20001220703125,315.0,316.5,285.0631408691406,25490
2015-12-31,317.0,321.79998779296875,315.70001220703125,317.0,285.5134582519531,16533
2016-01-01,317.0,317.0,317.0,317.0,285.5134582519531,0
2016-01-04,313.0,313.0,303.29998779296875,306.0,275.6060485839844,12394
2016-01-05,307.1000061035156,310.0,302.5,308.0,277.40740966796875,13943
2016-01-06,305.1000061035156,311.0,303.0,307.3999938964844,276.86700439453125,20025
2016-01-07,305.0,305.8999938964844,298.79998779296875,304.0,273.8047180175781,23337
2016-01-08,305.0,310.8999938964844,303.20001220703125,303.6000061035156,273.4444274902344,29408
2016-01-11,303.3999938964844,306.0,301.8999938964844,305.0,274.70538330078125,13180
2016-01-12,305.5,310.0,302.79998779296875,305.3999938964844,275.065673828125,25340
2016-01-13,306.79998779296875,310.3999938964844,305.8999938964844,306.5,276.056396484375,24046
2016-01-14,304.70001220703125,306.70001220703125,299.8999938964844,301.5,271.55303955078125,15908
2016-01-15,302.8999938964844,303.29998779296875,297.5,297.5,267.9503479003906,10369
2016-01-18,298.0,298.70001220703125,294.3999938964844,294.5,265.2483215332031,8518
2016-01-19,295.29998779296875,301.5,295.29998779296875,297.70001220703125,268.1304931640625,26349
2016-01-20,297.0,297.0,291.1000061035156,291.6000061035156,262.6363525390625,9065
2016-01-21,291.6000061035156,292.0,285.0,286.20001220703125,257.7727355957031,16078
2016-01-22,286.20001220703125,286.20001220703125,286.20001220703125,286.20001220703125,257.7727355957031,0
2016-01-25,291.20001220703125,300.0,291.20001220703125,292.8999938964844,263.8072509765625,9410
2016-01-26,291.3999938964844,296.5,290.0,296.5,267.0496520996094,9856
2016-01-27,299.0,303.0,297.5,297.79998779296875,268.22052001953125,17816
2016-01-28,298.5,303.3999938964844,298.5,300.5,270.6523132324219,17982
2016-01-29,303.5,334.0,302.20001220703125,320.0,288.2154846191406,54542
2016-02-01,316.5,316.5,307.0,308.29998779296875,277.6775817871094,46056
2016-02-02,309.5,312.1000061035156,305.5,305.5,275.1557312011719,23233
2016-02-03,304.8999938964844,307.0,303.0,305.1000061035156,274.79547119140625,15863
2016-02-04,307.0,309.20001220703125,307.0,308.79998779296875,278.1279296875,14221
2016-02-05,309.70001220703125,324.8999938964844,307.3999938964844,309.79998779296875,279.0285949707031,55550
2016-02-08,311.0,314.20001220703125,299.8999938964844,299.8999938964844,270.1119384765625,18218
2016-02-09,299.0,302.5,295.29998779296875,301.0,271.1026916503906,14245
2016-02-10,302.1000061035156,308.5,300.0,303.0,272.904052734375,12979
2016-02-11,300.8999938964844,301.8999938964844,297.5,298.79998779296875,269.1211853027344,10672
2016-02-12,299.6000061035156,301.79998779296875,298.70001220703125,299.0,269.30133056640625,12953
2016-02-15,299.0,299.0,279.6000061035156,289.0,260.29461669921875,18967
