Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2024-09-23,12317.5,12317.5,11615.0,11720.0,11720.0,849
2024-09-24,11720.0,11730.0,11297.5,11297.5,11297.5,643
2024-09-25,11297.5,11300.0,10682.5,10682.5,10682.5,1364
2024-09-26,10682.5,10682.5,9720.0,10110.0,10110.0,1441
2024-09-27,10000.0,10402.5,10000.0,10055.0,10055.0,740
2024-09-30,10055.0,10237.5,9500.0,9600.0,9600.0,1349
2024-10-01,9602.5,10560.0,9602.5,10560.0,10560.0,2708
2024-10-02,9992.5,11615.0,9505.0,11615.0,11615.0,3745
2024-10-03,12775.0,12775.0,11650.0,12000.0,12000.0,3794
2024-10-04,12000.0,12020.0,10830.0,10860.0,10860.0,2729
2024-10-07,10807.5,11100.0,10000.0,10350.0,10350.0,2950
2024-10-08,10197.5,10215.0,9700.0,9850.0,9850.0,2011
2024-10-09,9850.0,9987.5,9360.0,9437.5,9437.5,2044
2024-10-10,9295.0,9922.5,9052.5,9600.0,9600.0,1511
2024-10-11,9500.0,9500.0,9145.0,9200.0,9200.0,1286
2024-10-14,9200.0,9615.0,8502.5,9200.0,9200.0,2136
2024-10-15,9000.0,9300.0,8900.0,9060.0,9060.0,1665
2024-10-16,9060.0,9965.0,9060.0,9965.0,9965.0,1860
2024-10-17,10097.5,10812.5,10080.0,10420.0,10420.0,3088
2024-10-18,10390.0,10800.0,9912.5,10185.0,10185.0,2527
2024-10-21,10000.0,10097.5,9600.0,9600.0,9600.0,1182
2024-10-22,9600.0,10247.5,9400.0,10000.0,10000.0,1442
2024-10-23,10000.0,10000.0,9590.0,9675.0,9675.0,1011
2024-10-24,9675.0,9895.0,9572.5,9675.0,9675.0,987
2024-10-25,9675.0,9900.0,9500.0,9705.0,9705.0,896
2024-10-28,9705.0,9887.5,9522.5,9700.0,9700.0,233
2024-10-30,9700.0,9880.0,9450.0,9622.5,9622.5,975
2024-10-31,9622.5,9852.5,9500.0,9605.0,9605.0,581
2024-11-01,9610.0,9740.0,9500.0,9502.5,9502.5,760
2024-11-04,9450.0,9700.0,9100.0,9252.5,9252.5,580
2024-11-05,9255.0,9490.0,9020.0,9105.0,9105.0,609
2024-11-06,9105.0,9950.0,9040.0,9800.0,9800.0,1284
2024-11-07,9680.0,9682.5,9402.5,9415.0,9415.0,726
2024-11-08,9415.0,9490.0,9200.0,9287.5,9287.5,637
2024-11-11,9295.0,9400.0,9237.5,9337.5,9337.5,794
2024-11-12,9337.5,9337.5,9045.0,9157.5,9157.5,705
2024-11-13,9105.0,9280.0,9000.0,9070.0,9070.0,1164
2024-11-14,9070.0,9227.5,8620.0,9020.0,9020.0,831
2024-11-15,9025.0,9170.0,8885.0,9085.0,9085.0,1167
2024-11-18,9085.0,9090.0,8665.0,8800.0,8800.0,1569
2024-11-19,8850.0,8990.0,8410.0,8990.0,8990.0,1419
2024-11-20,8800.0,8880.0,8602.5,8615.0,8615.0,1193
2024-11-21,8615.0,8655.0,8315.0,8500.0,8500.0,1416
2024-11-22,8500.0,9297.5,8380.0,9230.0,9230.0,3150
2024-11-25,9055.0,9995.0,8900.0,9990.0,9990.0,3159
2024-11-26,10052.5,10300.0,9740.0,10205.0,10205.0,1944
2024-11-27,9805.0,10130.0,9805.0,10000.0,10000.0,1103
2024-11-28,9740.0,10250.0,9740.0,9800.0,9800.0,856
2024-11-29,9802.5,10000.0,9550.0,9827.5,9827.5,787
2024-12-02,9825.0,9827.5,9582.5,9642.5,9642.5,1000
2024-12-03,9495.0,10200.0,9450.0,9972.5,9972.5,1917
2024-12-04,9895.0,9900.0,9600.0,9750.0,9750.0,771
2024-12-05,9735.0,10387.5,9607.5,10310.0,10310.0,1054
2024-12-06,10302.5,11052.5,10077.5,10700.0,10700.0,2093
2024-12-09,11000.0,11200.0,10530.0,10947.5,10947.5,1526
2024-12-10,10947.5,11100.0,10650.0,10965.0,10965.0,950
2024-12-11,10800.0,10935.0,10750.0,10795.0,10795.0,831
2024-12-12,10672.5,11195.0,10672.5,11100.0,11100.0,1045
2024-12-13,11002.5,12210.0,10960.0,12210.0,12210.0,2785
2024-12-16,12502.5,13430.0,12310.0,13000.0,13000.0,3754
2024-12-17,12967.5,12967.5,11987.5,12552.5,12552.5,1676
2024-12-18,12395.0,12395.0,11785.0,11990.0,11990.0,1183
2024-12-19,11860.0,12900.0,11675.0,12705.0,12705.0,1152
2024-12-20,12695.0,13415.0,12225.0,12977.5,12977.5,5790
2024-12-23,12792.5,12842.5,12310.0,12410.0,12410.0,899
2024-12-24,12040.0,12600.0,12040.0,12600.0,12600.0,1368
2024-12-25,12597.5,12847.5,12350.0,12500.0,12500.0,636
2024-12-26,12382.5,12500.0,12050.0,12105.0,12105.0,590
2024-12-27,12020.0,12105.0,11697.5,11697.5,11697.5,923
2024-12-30,11312.5,11750.0,11272.5,11500.0,11500.0,1031
2024-12-31,11500.0,11637.5,11150.0,11300.0,11300.0,741
2025-01-02,11300.0,12000.0,11250.0,11960.0,11960.0,1080
2025-01-03,11952.5,11952.5,11500.0,11500.0,11500.0,519
2025-01-06,11500.0,11772.5,11345.0,11460.0,11460.0,1136
2025-01-07,11430.0,12300.0,11350.0,12000.0,12000.0,1004
