Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2015-10-29,34.349998474121094,34.349998474121094,34.349998474121094,34.349998474121094,34.349998474121094,0
2015-10-30,34.29999923706055,34.75,34.20000076293945,34.650001525878906,34.650001525878906,8054
2015-11-02,36.349998474121094,36.45000076293945,36.25,36.349998474121094,36.349998474121094,12233
2015-11-03,37.150001525878906,37.25,36.79999923706055,37.150001525878906,37.150001525878906,14134
2015-11-04,37.29999923706055,37.70000076293945,37.25,37.5,37.5,22306
2015-11-05,38.400001525878906,39.150001525878906,38.0,38.349998474121094,38.349998474121094,47089
2015-11-06,38.79999923706055,39.099998474121094,37.849998474121094,38.5,38.5,27926
2015-11-09,38.599998474121094,39.0,38.45000076293945,38.70000076293945,38.70000076293945,33293
2015-11-10,37.20000076293945,38.04999923706055,37.150001525878906,37.20000076293945,37.20000076293945,18494
2015-11-11,37.400001525878906,37.75,37.349998474121094,37.400001525878906,37.400001525878906,24190
2015-11-12,38.650001525878906,38.95000076293945,37.5,38.650001525878906,38.650001525878906,59233
2015-11-13,38.349998474121094,38.45000076293945,38.150001525878906,38.29999923706055,38.29999923706055,10830
2015-11-16,39.150001525878906,40.5,39.0,39.75,39.75,59603
2015-11-17,39.900001525878906,40.0,39.25,39.25,39.25,32636
2015-11-18,39.20000076293945,39.25,38.20000076293945,38.25,38.25,12279
2015-11-19,39.29999923706055,39.650001525878906,38.95000076293945,39.45000076293945,39.45000076293945,40767
2015-11-20,39.5,39.849998474121094,39.349998474121094,39.45000076293945,39.45000076293945,24602
2015-11-23,41.150001525878906,41.349998474121094,40.150001525878906,41.150001525878906,41.150001525878906,82323
2015-11-24,39.54999923706055,40.400001525878906,38.0,38.5,38.5,40849
2015-11-25,39.400001525878906,40.400001525878906,39.0,40.04999923706055,40.04999923706055,43987
2015-11-26,38.650001525878906,39.95000076293945,38.5,38.650001525878906,38.650001525878906,21779
2015-11-27,39.29999923706055,39.5,38.349998474121094,39.099998474121094,39.099998474121094,33257
2015-11-30,39.099998474121094,39.20000076293945,38.0,38.20000076293945,38.20000076293945,19782
2015-12-01,38.29999923706055,38.70000076293945,38.02000045776367,38.29999923706055,38.29999923706055,24978
