Tarih,Açılış,Yüksek,Düşük,Kapanış,Düzeltilmiş_Kapanış,Hacim
2015-10-29,15.710000038146973,15.710000038146973,15.710000038146973,15.710000038146973,11.803316116333008,0
2015-10-30,15.550000190734863,15.699999809265137,15.420000076293945,15.630000114440918,11.743209838867188,300575
2015-11-02,16.34000015258789,16.34000015258789,16.200000762939453,16.209999084472656,12.178977966308594,806035
2015-11-03,16.329999923706055,16.34000015258789,16.209999084472656,16.229999542236328,12.194005966186523,332015
2015-11-04,16.399999618530273,16.5,16.34000015258789,16.360000610351562,12.291677474975586,526190
2015-11-05,16.360000610351562,16.420000076293945,16.270000457763672,16.350000381469727,12.284164428710938,595965
2015-11-06,16.3799991607666,16.579999923706055,16.219999313354492,16.420000076293945,12.33675765991211,820830
2015-11-09,16.59000015258789,16.709999084472656,16.510000228881836,16.510000228881836,12.404377937316895,506440
2015-11-10,16.350000381469727,16.459999084472656,16.280000686645508,16.329999923706055,12.269137382507324,380105
2015-11-11,16.739999771118164,17.040000915527344,16.600000381469727,16.809999465942383,12.629773139953613,1340945
2015-11-12,16.860000610351562,16.860000610351562,16.68000030517578,16.729999542236328,12.569666862487793,584695
2015-11-13,16.670000076293945,16.739999771118164,16.549999237060547,16.690000534057617,12.5396146774292,383655
2015-11-16,16.6200008392334,16.770000457763672,16.600000381469727,16.639999389648438,12.50204849243164,389290
2015-11-17,16.940000534057617,17.3700008392334,16.8799991607666,17.020000457763672,12.787551879882812,2915895
2015-11-18,17.079999923706055,17.1200008392334,16.719999313354492,16.770000457763672,12.599720001220703,491620
2015-11-19,16.8700008392334,17.1299991607666,16.75,17.079999923706055,12.832632064819336,713095
2015-11-20,17.149999618530273,17.200000762939453,17.030000686645508,17.190000534057617,12.915277481079102,409375
2015-11-23,17.34000015258789,17.450000762939453,17.06999969482422,17.190000534057617,12.915277481079102,665935
2015-11-24,16.790000915527344,17.100000381469727,16.170000076293945,16.510000228881836,12.404377937316895,852475
2015-11-25,16.709999084472656,16.799999237060547,16.530000686645508,16.700000762939453,12.547127723693848,404420
2015-11-26,16.610000610351562,16.790000915527344,16.440000534057617,16.510000228881836,12.404377937316895,370900
2015-11-27,16.649999618530273,16.709999084472656,16.450000762939453,16.520000457763672,12.41188907623291,331560
2015-11-30,16.579999923706055,16.8700008392334,16.5,16.8700008392334,12.674854278564453,736790
2015-12-01,16.899999618530273,17.239999771118164,16.8700008392334,16.899999618530273,12.697393417358398,817585
2015-12-02,17.239999771118164,17.760000228881836,17.239999771118164,17.700000762939453,13.298454284667969,1541795
2015-12-03,17.75,17.959999084472656,17.309999465942383,17.309999465942383,13.005435943603516,1070720
2015-12-04,17.34000015258789,17.600000381469727,16.889999389648438,17.239999771118164,12.95284366607666,926905
2015-12-07,17.5,17.8799991607666,17.25,17.520000457763672,13.163214683532715,1183000
2015-12-08,17.540000915527344,17.579999923706055,16.920000076293945,17.149999618530273,12.885222434997559,718255
2015-12-09,17.25,17.350000381469727,16.889999389648438,17.31999969482422,13.01294994354248,653635
2015-12-10,17.260000228881836,17.469999313354492,16.860000610351562,17.0,12.772525787353516,659535
2015-12-11,17.0,17.059999465942383,16.389999389648438,16.780000686645508,12.6072359085083,506570
2015-12-14,16.90999984741211,17.06999969482422,16.420000076293945,16.530000686645508,12.419402122497559,484430
2015-12-15,16.6200008392334,16.90999984741211,16.489999771118164,16.829999923706055,12.644801139831543,482995
2015-12-16,16.829999923706055,16.959999084472656,16.65999984741211,16.739999771118164,12.577180862426758,816655
2015-12-17,16.829999923706055,17.18000030517578,16.75,17.09000015258789,12.8401460647583,1172440
2015-12-18,17.1200008392334,17.639999389648438,17.0,17.43000030517578,13.095596313476562,1633730
2015-12-21,17.59000015258789,18.450000762939453,17.59000015258789,18.149999618530273,13.63654899597168,2066870
2015-12-22,18.469999313354492,18.600000381469727,17.729999542236328,17.860000610351562,13.41866683959961,1452480
2015-12-23,18.0,18.1200008392334,17.719999313354492,18.020000457763672,13.5388765335083,775185
2015-12-24,18.100000381469727,18.3799991607666,17.899999618530273,18.299999237060547,13.749248504638672,1250395
2015-12-25,18.3700008392334,18.799999237060547,18.309999465942383,18.729999542236328,14.072318077087402,1651620
2015-12-28,18.75,19.100000381469727,18.600000381469727,18.829999923706055,14.147452354431152,1261420
2015-12-29,18.84000015258789,18.850000381469727,18.110000610351562,18.149999618530273,13.63654899597168,1171360
2015-12-30,18.149999618530273,18.420000076293945,17.979999542236328,18.15999984741211,13.644061088562012,676125
2015-12-31,17.68000030517578,18.31999969482422,17.68000030517578,17.959999084472656,13.493797302246094,575595
2016-01-01,17.959999084472656,17.959999084472656,17.959999084472656,17.959999084472656,13.493797302246094,0
2016-01-04,17.8799991607666,18.899999618530273,17.799999237060547,18.559999465942383,13.944591522216797,1972930
2016-01-05,18.6200008392334,18.979999542236328,18.280000686645508,18.84000015258789,14.154962539672852,1449125
2016-01-06,18.829999923706055,19.110000610351562,18.729999542236328,18.770000457763672,14.102371215820312,1369640
2016-01-07,18.690000534057617,18.690000534057617,18.3700008392334,18.65999984741211,14.01972484588623,751720
2016-01-08,19.010000228881836,19.600000381469727,18.899999618530273,19.229999542236328,14.447978973388672,2277420
2016-01-11,19.600000381469727,19.8799991607666,19.450000762939453,19.799999237060547,14.876235961914062,2261420
2016-01-12,19.799999237060547,19.860000610351562,19.329999923706055,19.399999618530273,14.575706481933594,1990730
2016-01-13,19.510000228881836,19.780000686645508,19.309999465942383,19.450000762939453,14.613273620605469,1175880
2016-01-14,19.450000762939453,19.579999923706055,19.290000915527344,19.399999618530273,14.575706481933594,592250
2016-01-15,19.399999618530273,19.760000228881836,19.350000381469727,19.399999618530273,14.575706481933594,1078130
2016-01-18,19.5,19.719999313354492,18.829999923706055,18.8799991607666,14.185016632080078,1528095
2016-01-19,19.0,19.030000686645508,18.360000610351562,18.3700008392334,13.801840782165527,885580
2016-01-20,18.239999771118164,18.700000762939453,17.84000015258789,17.860000610351562,13.41866683959961,908630
2016-01-21,17.899999618530273,18.420000076293945,17.149999618530273,18.280000686645508,13.734222412109375,1096700
2016-01-22,18.280000686645508,18.280000686645508,18.280000686645508,18.280000686645508,13.734222412109375,0
2016-01-25,19.700000762939453,19.829999923706055,19.18000030517578,19.200000762939453,14.42543888092041,1372000
2016-01-26,19.15999984741211,19.389999389648438,19.020000457763672,19.100000381469727,14.350309371948242,883855
2016-01-27,19.15999984741211,19.6200008392334,19.149999618530273,19.329999923706055,14.523113250732422,1390885
2016-01-28,19.399999618530273,19.540000915527344,19.100000381469727,19.1200008392334,14.365334510803223,1102240
2016-01-29,19.280000686645508,19.520000457763672,19.18000030517578,19.219999313354492,14.440465927124023,883580
2016-02-01,19.219999313354492,19.399999618530273,18.8799991607666,19.059999465942383,14.320256233215332,1139925
2016-02-02,19.149999618530273,19.229999542236328,18.829999923706055,18.829999923706055,14.147452354431152,505560
2016-02-03,18.799999237060547,18.889999389648438,18.5,18.709999084472656,14.057290077209473,640425
2016-02-04,18.81999969482422,19.280000686645508,18.760000228881836,19.010000228881836,14.282690048217773,897760
2016-02-05,19.030000686645508,19.350000381469727,19.0,19.190000534057617,14.417928695678711,1039450
2016-02-08,19.459999084472656,19.950000762939453,19.100000381469727,19.200000762939453,14.42543888092041,3001040
2016-02-09,19.079999923706055,19.350000381469727,18.899999618530273,19.219999313354492,14.440465927124023,1154080
2016-02-10,19.270000457763672,19.450000762939453,18.860000610351562,19.049999237060547,14.312743186950684,1184390
2016-02-11,18.920000076293945,19.020000457763672,18.43000030517578,18.719999313354492,14.064805030822754,711465
2016-02-12,18.719999313354492,18.860000610351562,18.469999313354492,18.690000534057617,14.042266845703125,624800
2016-02-15,18.68000030517578,18.68000030517578,18.18000030517578,18.3700008392334,13.801840782165527,699145
2016-02-16,18.479999542236328,18.600000381469727,17.90999984741211,17.979999542236328,13.508822441101074,1487640
2016-02-17,17.989999771118164,18.280000686645508,17.829999923706055,18.15999984741211,13.644061088562012,687340
2016-02-18,18.1200008392334,18.399999618530273,18.049999237060547,18.25,13.711682319641113,699875
2016-02-19,18.25,18.5,18.15999984741211,18.18000030517578,13.659090042114258,959130
2016-02-22,18.260000228881836,18.520000457763672,18.260000228881836,18.489999771118164,13.892000198364258,653275
2016-02-23,18.559999465942383,18.84000015258789,18.389999389648438,18.530000686645508,13.922054290771484,986930
2016-02-24,18.68000030517578,18.760000228881836,18.3799991607666,18.399999618530273,13.824380874633789,671330
2016-02-25,18.520000457763672,18.649999618530273,18.420000076293945,18.420000076293945,13.839407920837402,442260
2016-02-26,18.5,19.0,18.200000762939453,18.81999969482422,14.139937400817871,2285350
2016-02-29,18.81999969482422,18.899999618530273,18.600000381469727,18.84000015258789,14.154962539672852,761835
2016-03-01,18.829999923706055,18.959999084472656,18.75,18.799999237060547,14.124910354614258,328050
2016-03-02,18.84000015258789,18.93000030517578,18.719999313354492,18.719999313354492,14.064805030822754,463520
2016-03-03,18.790000915527344,19.059999465942383,18.729999542236328,18.940000534057617,14.230096817016602,872465
2016-03-04,19.0,19.040000915527344,18.739999771118164,18.989999771118164,14.267661094665527,402740
2016-03-07,18.989999771118164,19.059999465942383,18.799999237060547,18.959999084472656,14.245121955871582,431760
2016-03-08,18.920000076293945,18.93000030517578,18.770000457763672,18.770000457763672,14.102371215820312,341720
2016-03-09,18.780000686645508,19.3700008392334,18.780000686645508,19.18000030517578,14.410415649414062,1672725
2016-03-10,19.18000030517578,19.700000762939453,19.1299991607666,19.68000030517578,14.786077499389648,1934250
2016-03-11,19.68000030517578,20.299999237060547,19.600000381469727,19.719999313354492,14.816129684448242,2057130
2016-03-14,19.719999313354492,19.969999313354492,19.670000076293945,19.81999969482422,14.891263008117676,674800
2016-03-15,19.81999969482422,20.260000228881836,19.81999969482422,20.200000762939453,15.176766395568848,1263220
2016-03-16,20.260000228881836,20.399999618530273,20.0,20.1200008392334,15.116661071777344,534635
2016-03-17,20.31999969482422,20.3799991607666,20.020000457763672,20.219999313354492,15.191792488098145,706260
2016-03-18,20.260000228881836,20.940000534057617,20.100000381469727,20.860000610351562,15.672640800476074,1777615
2016-03-21,20.860000610351562,21.440000534057617,20.84000015258789,21.399999618530273,16.078353881835938,1858230
2016-03-22,21.200000762939453,21.639999389648438,20.760000228881836,21.559999465942383,16.198566436767578,1407960
2016-03-23,21.559999465942383,21.700000762939453,20.700000762939453,20.799999237060547,15.62756061553955,1256305
2016-03-24,20.780000686645508,21.1200008392334,20.559999465942383,21.100000381469727,15.852958679199219,437465
2016-03-25,21.059999465942383,21.399999618530273,21.020000457763672,21.280000686645508,15.988194465637207,270085
2016-03-28,21.3799991607666,21.420000076293945,21.15999984741211,21.18000030517578,15.913063049316406,241455
2016-03-29,21.299999237060547,21.399999618530273,21.059999465942383,21.059999465942383,15.822903633117676,306810
2016-03-30,21.18000030517578,21.559999465942383,21.1200008392334,21.5,16.153486251831055,420240
2016-03-31,21.540000915527344,21.719999313354492,21.479999542236328,21.600000381469727,16.228622436523438,449610
2016-04-01,21.579999923706055,22.200000762939453,21.520000457763672,22.18000030517578,16.664390563964844,1116600
2016-04-04,22.0,22.0,21.5,21.65999984741211,16.726167678833008,656660
2016-04-05,21.920000076293945,22.15999984741211,21.700000762939453,21.700000762939453,16.757055282592773,634145
2016-04-06,21.8799991607666,22.0,21.65999984741211,21.719999313354492,16.772499084472656,658435
2016-04-07,21.799999237060547,21.84000015258789,21.219999313354492,21.239999771118164,16.401838302612305,354710
2016-04-08,21.219999313354492,21.799999237060547,20.799999237060547,21.600000381469727,16.679832458496094,571305
2016-04-11,21.639999389648438,21.81999969482422,21.479999542236328,21.68000030517578,16.741607666015625,289550
2016-04-12,21.799999237060547,21.799999237060547,21.200000762939453,21.600000381469727,16.679832458496094,389440
2016-04-13,21.600000381469727,21.719999313354492,21.5,21.6200008392334,16.69527816772461,342590
2016-04-14,21.700000762939453,22.18000030517578,21.6200008392334,22.18000030517578,17.127717971801758,894935
2016-04-15,22.239999771118164,22.440000534057617,21.799999237060547,21.940000534057617,16.942384719848633,620315
2016-04-18,21.899999618530273,22.239999771118164,21.719999313354492,22.040000915527344,17.019609451293945,341960
2016-04-19,22.1200008392334,22.200000762939453,21.700000762939453,21.920000076293945,16.92694091796875,419335
2016-04-20,21.799999237060547,21.860000610351562,21.219999313354492,21.440000534057617,16.5562801361084,425185
2016-04-21,21.459999084472656,21.799999237060547,21.399999618530273,21.420000076293945,16.540836334228516,229950
2016-04-22,21.399999618530273,21.600000381469727,21.1200008392334,21.600000381469727,16.679832458496094,255335
2016-04-25,21.440000534057617,21.84000015258789,21.440000534057617,21.68000030517578,16.741607666015625,243780
2016-04-26,21.68000030517578,21.760000228881836,21.520000457763672,21.540000915527344,16.633501052856445,184315
2016-04-27,21.540000915527344,21.639999389648438,21.399999618530273,21.5,16.602611541748047,246225
2016-04-28,21.5,21.639999389648438,21.31999969482422,21.5,16.602611541748047,251185
2016-04-29,21.5,21.81999969482422,21.5,21.639999389648438,16.710723876953125,596310
2016-05-02,21.540000915527344,21.540000915527344,20.899999618530273,20.920000076293945,16.154726028442383,374865
2016-05-03,20.920000076293945,21.100000381469727,20.31999969482422,20.420000076293945,15.768620491027832,381365
2016-05-04,20.280000686645508,20.399999618530273,19.020000457763672,19.559999465942383,15.104515075683594,785820
2016-05-05,19.200000762939453,19.719999313354492,18.8700008392334,19.290000915527344,14.896018981933594,938815
2016-05-06,19.299999237060547,19.799999237060547,18.899999618530273,19.770000457763672,15.266680717468262,598460
2016-05-09,19.799999237060547,20.0,19.610000610351562,19.610000610351562,15.14312744140625,307485
2016-05-10,19.700000762939453,19.780000686645508,19.260000228881836,19.450000762939453,15.019573211669922,265285
2016-05-11,19.459999084472656,19.579999923706055,19.200000762939453,19.40999984741211,14.98868465423584,253010
2016-05-12,19.40999984741211,19.84000015258789,19.31999969482422,19.790000915527344,15.282126426696777,501475
2016-05-13,19.649999618530273,19.649999618530273,19.440000534057617,19.600000381469727,15.135405540466309,167270
2016-05-16,19.59000015258789,19.600000381469727,19.15999984741211,19.229999542236328,14.849684715270996,177890
2016-05-17,19.299999237060547,19.450000762939453,19.059999465942383,19.139999389648438,14.780183792114258,216675
2016-05-18,19.1200008392334,19.239999771118164,18.920000076293945,18.959999084472656,14.641186714172363,159135
2016-05-19,18.959999084472656,18.959999084472656,18.959999084472656,18.959999084472656,14.641186714172363,0
2016-05-20,18.959999084472656,19.100000381469727,18.8700008392334,18.8700008392334,14.57168960571289,140815
2016-05-23,18.899999618530273,19.09000015258789,18.84000015258789,18.920000076293945,14.610300064086914,212630
2016-05-24,18.969999313354492,19.469999313354492,18.8700008392334,19.469999313354492,15.035014152526855,416035
2016-05-25,19.5,19.65999984741211,19.079999923706055,19.09000015258789,14.74157428741455,413575
2016-05-26,19.100000381469727,19.399999618530273,18.8799991607666,19.360000610351562,14.950072288513184,322860
2016-05-27,19.399999618530273,19.399999618530273,18.989999771118164,19.030000686645508,14.695241928100586,254580
2016-05-30,19.030000686645508,19.540000915527344,18.950000762939453,19.299999237060547,14.903739929199219,307925
2016-05-31,19.350000381469727,19.469999313354492,19.040000915527344,19.469999313354492,15.035014152526855,527780
2016-06-01,19.3700008392334,19.440000534057617,19.110000610351562,19.110000610351562,14.757019996643066,277375
2016-06-02,19.170000076293945,19.170000076293945,18.829999923706055,18.829999923706055,14.540799140930176,299535
2016-06-03,18.8700008392334,19.200000762939453,18.829999923706055,19.06999969482422,14.726130485534668,191030
2016-06-06,19.1299991607666,19.450000762939453,19.079999923706055,19.40999984741211,14.98868465423584,354725
2016-06-07,19.420000076293945,20.920000076293945,19.420000076293945,20.780000686645508,16.04661750793457,2951895
2016-06-08,20.799999237060547,21.020000457763672,20.360000610351562,20.459999084472656,15.799505233764648,937845
2016-06-09,20.559999465942383,20.559999465942383,19.8700008392334,20.15999984741211,15.56784439086914,338030
2016-06-10,20.139999389648438,20.559999465942383,20.100000381469727,20.200000762939453,15.598734855651855,270190
2016-06-13,19.799999237060547,20.200000762939453,19.700000762939453,20.020000457763672,15.459735870361328,228605
2016-06-14,20.020000457763672,20.100000381469727,19.770000457763672,19.770000457763672,15.266680717468262,255245
2016-06-15,20.0,20.0,19.200000762939453,19.399999618530273,14.980960845947266,299590
2016-06-16,19.3700008392334,19.469999313354492,19.0,19.399999618530273,14.980960845947266,416935
2016-06-17,19.399999618530273,19.649999618530273,19.260000228881836,19.260000228881836,14.872852325439453,293885
2016-06-20,19.5,19.639999389648438,19.399999618530273,19.559999465942383,15.104515075683594,309485
2016-06-21,19.559999465942383,19.950000762939453,19.459999084472656,19.93000030517578,15.390235900878906,441220
2016-06-22,20.15999984741211,20.239999771118164,19.600000381469727,19.600000381469727,15.135405540466309,519630
2016-06-23,19.600000381469727,19.600000381469727,19.360000610351562,19.479999542236328,15.042738914489746,323475
2016-06-24,18.399999618530273,19.110000610351562,18.399999618530273,19.079999923706055,14.733853340148926,223560
2016-06-27,19.0,19.190000534057617,18.979999542236328,18.979999542236328,14.656630516052246,247345
2016-06-28,19.100000381469727,19.469999313354492,19.100000381469727,19.350000381469727,14.942350387573242,323670
