,ARIMA_Tahmin,Prophet_Tahmin,Prophet_AltBand,Prophet_UstBand,GARCH_Volatilite,EGARCH_Volatilite,Kapanış,Sinyal
2025-10-27,204.272049136747,162.2379433254189,148.2337003057878,175.9365491238269,2.243803652463882,2.66912384682319,203.8999939,SAT
2025-10-28,204.64478326071,162.16836294429967,149.26901582398955,175.81506674688958,2.269106627959615,2.941883599071991,203.8999939,SAT
2025-10-29,205.0181975106508,162.1507782323034,148.96351892355312,175.14354600020104,2.2919561770604817,3.2076369573028782,203.8999939,SAT
2025-10-30,205.39229312759173,162.32216119569162,147.7632551043901,175.3381761220676,2.3126133101663013,3.4639370702920464,203.8999939,SAT
2025-10-31,205.76707135481956,162.33524681543895,148.41311768443904,175.887691646914,2.331306771941678,3.708889579383352,203.8999939,SAT
2025-11-03,206.14253343788957,162.5066549971991,149.37907201034287,176.35758332574537,2.348237914447443,3.9411178380792258,203.8999939,SAT
2025-11-04,206.51868062462992,162.5923570650536,149.7972288331836,176.45616839819726,2.3635846612372267,4.159711157405405,203.8999939,SAT
2025-11-05,206.89551416514567,162.72938911760565,148.8289807930497,176.39157081600766,2.37750476592804,4.364163844814665,203.8999939,SAT
2025-11-06,207.27303531182287,163.05231586244142,150.38340530101806,176.31268994119196,2.390138516176848,4.554311087236058,203.8999939,SAT
2025-11-07,207.65124531933293,163.21163133712932,149.7981586838091,176.76777830775214,2.4016109966201205,4.730266073600941,203.8999939,SAT
2025-11-10,208.03014544463647,163.77075630014326,151.2380332375651,176.64655103812171,2.412033997342106,4.892361301819541,203.8999939,SAT
2025-11-11,208.40973694698775,163.96366433809828,148.78591026269024,177.2800509196883,2.4215076346616216,5.041095831502511,203.8999939,SAT
2025-11-12,208.79002108793887,164.19509875324397,150.99777426645883,177.95099679063654,2.4301217363445637,5.177089334607007,203.8999939,SAT
2025-11-13,209.1709991313437,164.59901487253873,151.42262915789104,176.68468706552892,2.437957032314108,5.301043137969035,203.8999939,SAT
2025-11-14,209.55267234336253,164.82560653019533,151.35516428241084,178.58996566896957,2.445086183542541,5.413708005455288,203.8999939,SAT
2025-11-17,209.9350419924657,165.5056670716443,151.30284828306054,180.1925986203882,2.4515746753654217,5.515858129905412,203.8999939,SAT
2025-11-18,210.3181093494383,165.71370309145877,153.29730498206163,179.45805170342675,2.457481596460949,5.608270654861147,203.8999939,SAT
2025-11-19,210.70187568738416,165.94912478458076,152.69017489173388,180.05889906199073,2.462860320825082,5.691709987367709,203.8999939,SAT
2025-11-20,211.0863422817302,166.34702365467663,152.04078768187844,178.75540931120625,2.467759106984168,5.766916166542424,203.8999939,SAT
2025-11-21,211.4715104102305,166.55885356001343,152.45063302307005,180.17443377107557,2.4722216262285146,5.834596595348244,203.8999939,SAT
2025-11-24,211.8573813529708,167.1557787076126,153.72752300074038,180.58274090847132,2.4762874296789428,5.89542050816102,203.8999939,SAT
2025-11-25,212.24395639237244,167.32775507101272,153.8709257264171,181.19257370005204,2.479992362406155,5.95001562224859,203.8999939,SAT
2025-11-26,212.63123681319684,167.52514680109013,153.412783670691,180.9738930978116,2.4833689315280467,5.998966499035888,203.8999939,SAT
2025-11-27,213.0192239025498,167.88424034209476,154.50368511639883,181.68577477032463,2.48644663415055,6.042814215810467,203.8999939,SAT
2025-11-28,213.4079189498856,168.05756159315132,154.57667332966793,182.09684465113656,2.489252250145264,6.082057017280111,203.8999939,SAT
2025-12-01,213.79732324701143,168.54922485515374,154.88327786401766,182.2846895011888,2.4918101040346734,6.117151677598171,203.8999939,SAT
2025-12-02,214.1874380880916,168.6915395448058,153.56371406506273,183.32360593880367,2.494142299654219,6.148515356616703,203.8999939,SAT
2025-12-03,214.5782647696519,168.86256038845931,154.77604731125413,182.4457029067569,2.496268930756945,6.176527779360751,203.8999939,SAT
2025-12-04,214.96980459058383,169.19867440279546,154.84095457313197,182.52200254674892,2.4982082703028192,6.201533605578456,203.8999939,SAT
2025-12-05,215.36205885214915,169.35235905968474,155.0032621945743,182.09637626549937,2.4999769408167616,6.223844887454635,203.8999939,SAT
