,ARIMA_Tahmin,Prophet_Tahmin,Prophet_AltBand,Prophet_UstBand,GARCH_Volatilite,EGARCH_Volatilite
27/10/2025,204.2720491,162.2379433,148.2337003,175.9365491,2.243803652,2.669123847
28/10/2025,204.6447833,162.1683629,149.2690158,175.8150667,2.269106628,2.941883599
29/10/2025,205.0181975,162.1507782,148.9635189,175.143546,2.291956177,3.207636957
30/10/2025,205.3922931,162.3221612,147.7632551,175.3381761,2.31261331,3.46393707
31/10/2025,205.7670714,162.3352468,148.4131177,175.8876916,2.331306772,3.708889579
03/11/2025,206.1425334,162.506655,149.379072,176.3575833,2.348237914,3.941117838
04/11/2025,206.5186806,162.5923571,149.7972288,176.4561684,2.363584661,4.159711157
05/11/2025,206.8955142,162.7293891,148.8289808,176.3915708,2.377504766,4.364163845
06/11/2025,207.2730353,163.0523159,150.3834053,176.3126899,2.390138516,4.554311087
07/11/2025,207.6512453,163.2116313,149.7981587,176.7677783,2.401610997,4.730266074
10/11/2025,208.0301454,163.7707563,151.2380332,176.646551,2.412033997,4.892361302
11/11/2025,208.4097369,163.9636643,148.7859103,177.2800509,2.421507635,5.041095832
12/11/2025,208.7900211,164.1950988,150.9977743,177.9509968,2.430121736,5.177089335
13/11/2025,209.1709991,164.5990149,151.4226292,176.6846871,2.437957032,5.301043138
14/11/2025,209.5526723,164.8256065,151.3551643,178.5899657,2.445086184,5.413708005
17/11/2025,209.935042,165.5056671,151.3028483,180.1925986,2.451574675,5.51585813
18/11/2025,210.3181093,165.7137031,153.297305,179.4580517,2.457481596,5.608270655
19/11/2025,210.7018757,165.9491248,152.6901749,180.0588991,2.462860321,5.691709987
20/11/2025,211.0863423,166.3470237,152.0407877,178.7554093,2.467759107,5.766916167
21/11/2025,211.4715104,166.5588536,152.450633,180.1744338,2.472221626,5.834596595
24/11/2025,211.8573814,167.1557787,153.727523,180.5827409,2.47628743,5.895420508
25/11/2025,212.2439564,167.3277551,153.8709257,181.1925737,2.479992362,5.950015622
26/11/2025,212.6312368,167.5251468,153.4127837,180.9738931,2.483368932,5.998966499
27/11/2025,213.0192239,167.8842403,154.5036851,181.6857748,2.486446634,6.042814216
28/11/2025,213.4079189,168.0575616,154.5766733,182.0968447,2.48925225,6.082057017
01/12/2025,213.7973232,168.5492249,154.8832779,182.2846895,2.491810104,6.117151678
02/12/2025,214.1874381,168.6915395,153.5637141,183.3236059,2.4941423,6.148515357
03/12/2025,214.5782648,168.8625604,154.7760473,182.4457029,2.496268931,6.176527779
04/12/2025,214.9698046,169.1986744,154.8409546,182.5220025,2.49820827,6.201533606
05/12/2025,215.3620589,169.3523591,155.0032622,182.0963763,2.499976941,6.223844887
