Hisse,Önceki Kapanış,Son Fiyat,Değişim (%)
ATSYH,65.0,71.5,10.0
BVSAN,122.0,134.2,10.0
GUNDG,90.0,99.0,10.0
LYDYE,14980.0,16477.5,10.0
INTEM,265.0,291.5,10.0
DUNYH,91.1,100.2,9.99
POLTK,6585.0,7242.5,9.98
TATGD,12.12,13.33,9.98
BMSCH,18.05,19.85,9.97
LINK,326.0,358.5,9.97
ONCSM,162.5,178.7,9.97
DOGUB,44.72,49.18,9.97
SAFKR,22.86,25.14,9.97
CRDFA,34.92,38.4,9.97
UFUK,1324.0,1456.0,9.97
INVES,276.0,303.5,9.96
CEMAS,5.33,5.86,9.94
LYDHO,120.9,132.9,9.93
VERUS,237.0,260.5,9.92
BRYAT,2026.0,2227.0,9.92
BEGYO,5.56,6.11,9.89
BINBN,160.0,175.8,9.88
METRO,4.96,5.45,9.88
SELVA,3.08,3.38,9.74
QNBTR,495.75,544.0,9.73
DOBUR,341.0,373.5,9.53
ISMEN,41.86,45.82,9.46
SNICA,4.94,5.4,9.31
ISCTR,12.06,13.18,9.29
OBASE,35.58,38.62,8.54
LOGO,151.5,164.1,8.32
MMCAS,74.8,81.0,8.29
TSKB,12.34,13.34,8.1
SUNTK,36.84,39.82,8.09
MERCN,27.88,30.1,7.96
YKBNK,30.36,32.76,7.91
YGYO,1.68,1.81,7.74
MACKO,41.8,45.0,7.66
EPLAS,6.23,6.7,7.54
MAKTK,13.98,15.03,7.51
SEYKM,6.33,6.8,7.42
FONET,2.75,2.95,7.27
TSPOR,1.29,1.38,6.98
TCKRC,44.5,47.6,6.97
KGYO,5.32,5.69,6.95
DCTTR,28.92,30.92,6.92
KOPOL,6.22,6.65,6.91
CMENT,349.0,373.0,6.88
KRDMD,26.62,28.44,6.84
VKFYO,21.04,22.48,6.84
KCAER,12.72,13.59,6.84
UNLU,14.01,14.95,6.71
ATLAS,5.96,6.36,6.71
TDGYO,22.3,23.78,6.64
ATATP,126.5,134.9,6.64
ALGYO,22.72,24.2,6.51
AHSGY,42.74,45.5,6.46
GLCVY,65.15,69.35,6.45
ESCOM,3.1,3.3,6.45
BIGCH,62.9,66.95,6.44
PATEK,27.32,29.08,6.44
BRLSM,13.88,14.77,6.41
ARDYZ,25.0,26.6,6.4
DERHL,15.9,16.91,6.35
BULGS,33.74,35.88,6.34
A1CAP,11.88,12.63,6.31
LUKSK,110.0,116.9,6.27
DZGYO,6.55,6.96,6.26
ORCAY,9.96,10.58,6.22
ASUZU,53.2,56.5,6.2
VRGYO,3.08,3.27,6.17
MARKA,43.02,45.64,6.09
BRSAN,394.5,418.5,6.08
BASCM,14.5,15.38,6.07
VANGD,41.5,44.02,6.07
SARKY,14.35,15.22,6.06
RTALB,3.65,3.87,6.03
OYAYO,35.3,37.42,6.01
ECZYT,262.75,278.5,5.99
TMSN,100.4,106.4,5.98
EKIZ,88.0,93.25,5.97
ISGSY,72.3,76.6,5.95
LIDFA,3.87,4.1,5.94
BIMAS,547.0,579.5,5.94
IHAAS,33.74,35.74,5.93
KRDMA,27.44,29.04,5.83
KENT,749.5,793.0,5.8
ISFIN,17.68,18.7,5.77
EGEEN,7722.5,8167.5,5.76
DERIM,37.38,39.52,5.72
KARSN,9.61,10.16,5.72
VERTU,37.28,39.4,5.69
YESIL,2.3,2.43,5.65
INTEK,356.25,376.25,5.61
CANTE,2.14,2.26,5.61
KCHOL,162.8,171.8,5.53
GEDIK,7.08,7.47,5.51
BINHO,9.84,10.38,5.49
PCILT,19.7,20.78,5.48
GLRYH,4.21,4.44,5.46
DAPGM,12.71,13.4,5.43
ERCB,72.65,76.55,5.37
PRZMA,12.91,13.6,5.34
ORGE,66.45,70.0,5.34
NIBAS,21.18,22.3,5.29
JANTS,20.02,21.08,5.29
KBORU,13.05,13.74,5.29
AVPGY,56.0,58.95,5.27
KLMSN,30.9,32.52,5.24
DGNMO,5.73,6.03,5.24
PRKME,17.04,17.93,5.22
ANELE,15.72,16.54,5.22
ULUFA,3.84,4.04,5.21
CONSE,3.1,3.26,5.16
CMBTN,2136.0,2246.0,5.15
CEOEM,24.06,25.3,5.15
MNDRS,13.44,14.13,5.13
YONGA,62.45,65.65,5.12
YYLGD,10.01,10.52,5.09
KLNMA,13.5,14.18,5.04
KOTON,16.61,17.44,5.0
ARCLK,106.1,111.4,5.0
KOCMT,2.6,2.73,5.0
KOZAL,24.86,26.1,4.99
DARDL,2.42,2.54,4.96
LMKDC,24.22,25.42,4.95
BRKSN,8.1,8.5,4.94
YIGIT,23.9,25.08,4.94
DURDO,3.47,3.64,4.9
DSTKF,542.0,568.5,4.89
KORDS,54.4,57.05,4.87
ENERY,9.28,9.73,4.85
MOGAN,8.92,9.35,4.82
KRDMB,25.4,26.62,4.8
ELITE,31.96,33.48,4.76
KSTUR,3105.0,3252.5,4.75
SODSN,105.6,110.6,4.73
ARASE,51.95,54.4,4.72
KLKIM,32.34,33.86,4.7
GSDHO,4.5,4.71,4.67
GENTS,9.0,9.42,4.67
ODAS,5.37,5.62,4.66
VSNMD,127.0,132.9,4.65
IHGZT,1.72,1.8,4.65
GWIND,24.24,25.36,4.62
RUZYE,12.24,12.8,4.58
KONYA,4860.0,5082.5,4.58
YAPRK,263.0,275.0,4.56
HUNER,3.52,3.68,4.55
BALSU,20.26,21.18,4.54
TNZTP,21.62,22.6,4.53
YYAPI,1.99,2.08,4.52
ARENA,28.82,30.12,4.51
ULKER,104.3,109.0,4.51
MRGYO,2.89,3.02,4.5
THYAO,284.25,297.0,4.49
EKOS,24.6,25.7,4.47
ALBRK,7.88,8.23,4.44
HTTBT,45.96,48.0,4.44
KUTPO,101.3,105.8,4.44
ARZUM,2.95,3.08,4.41
QNBFK,57.5,60.0,4.35
NUGYO,9.2,9.6,4.35
KRTEK,30.38,31.7,4.34
ARSAN,2.78,2.9,4.32
NATEN,8.35,8.71,4.31
KLSYN,5.58,5.82,4.3
ESCAR,20.0,20.86,4.3
ISSEN,7.7,8.03,4.29
GARAN,126.2,131.6,4.28
AGHOL,25.22,26.3,4.28
MSGYO,5.85,6.1,4.27
AYDEM,17.78,18.54,4.27
GOZDE,20.68,21.56,4.26
TBORG,184.1,191.9,4.24
PNLSN,37.74,39.34,4.24
YEOTK,32.6,33.98,4.23
SAHOL,78.35,81.65,4.21
PLTUR,24.28,25.3,4.2
AGROT,7.14,7.44,4.2
AEFES,13.87,14.45,4.18
LKMNH,16.08,16.75,4.17
PRKAB,31.76,33.08,4.16
BJKAS,1.93,2.01,4.15
MARBL,13.38,13.93,4.11
TLMAN,98.55,102.6,4.11
PAPIL,15.09,15.71,4.11
BALAT,74.45,77.5,4.1
TUREX,7.6,7.91,4.08
FMIZP,312.25,325.0,4.08
KNFRT,12.78,13.3,4.07
VKING,31.0,32.26,4.06
AVHOL,41.0,42.66,4.05
OSTIM,3.22,3.35,4.04
ALTNY,60.7,63.15,4.04
BURVA,178.3,185.5,4.04
CATES,32.24,33.54,4.03
SKYMD,12.9,13.42,4.03
PAMEL,88.05,91.6,4.03
TERA,907.0,943.5,4.02
KATMR,2.74,2.85,4.01
