Hisse,Önceki Kapanış,Son Fiyat,Değişim (%)
SKYLP,132.0,145.2,10.0
BINBN,142.0,156.2,10.0
TEHOL,35.2,38.72,10.0
LYDYE,12382.5,13620.0,9.99
BURVA,180.1,198.1,9.99
ODAS,5.11,5.62,9.98
GRNYO,13.64,15.0,9.97
ENSRI,104.3,114.7,9.97
BURCE,29.3,32.22,9.97
BINHO,8.94,9.83,9.96
DOGUB,36.98,40.66,9.95
DITAS,23.94,26.32,9.94
KRGYO,2.92,3.21,9.93
AKFIS,22.18,24.38,9.92
ICUGS,3.03,3.33,9.9
MANAS,6.47,7.11,9.89
SEGYO,4.19,4.6,9.79
PSGYO,2.97,3.26,9.76
CANTE,1.97,2.16,9.64
VERUS,222.0,240.8,8.47
TRHOL,372.5,404.0,8.46
ALKA,11.44,12.4,8.39
CGCAM,32.7,35.24,7.77
BALAT,70.1,75.5,7.7
BRMEN,18.8,20.2,7.45
HEDEF,88.35,94.7,7.19
YAYLA,31.78,34.04,7.11
ADESE,3.93,4.19,6.62
MTRKS,27.24,29.0,6.46
INTEK,305.0,324.0,6.23
AVGYO,16.68,17.68,6.0
ISKPL,8.88,9.4,5.86
MRGYO,2.78,2.94,5.76
BASGZ,38.36,40.48,5.53
YATAS,33.72,35.5,5.28
HUBVC,3.22,3.39,5.28
SEKFK,7.94,8.34,5.04
KRONT,15.36,16.13,5.01
PATEK,26.9,28.24,4.98
PINSU,13.29,13.93,4.82
KAREL,9.19,9.63,4.79
ENKAI,71.2,74.6,4.78
DZGYO,6.4,6.7,4.69
TURSG,10.72,11.22,4.66
BMSCH,16.8,17.58,4.64
GLYHO,10.38,10.86,4.62
IEYHO,29.08,30.4,4.54
ONRYT,76.3,79.7,4.46
KUYAS,46.2,48.24,4.42
YESIL,2.29,2.39,4.37
HATEK,14.64,15.25,4.17
KRSTL,10.81,11.26,4.16
